Bezirk,Ortsteil,Straße,Str. Anfang,Str. Ende,Ortsbeschreibung,Stadt,lat,lon
Tempelhof-Schöneberg,Tempelhof,Züllichauer Str.,Golßener Str.,Lilienthalstr.,Nr. 1-7 am Sportplatz (Haupteingang),Berlin,52.4851268,13.4044607
Tempelhof-Schöneberg,Tempelhof,Züllichauer Str.,Golßener Str.,Lilienthalstr.,Nr. 1-7 am Sportplatz (Nebeneingang),Berlin,52.4851268,13.4044607
Friedrichshain-Kreuzberg,Kreuzberg,Zimmerstr.,Friedrichstr.,Charlottenstr.,o.Nr.,Berlin,52.5078275,13.3901077
Friedrichshain-Kreuzberg,Kreuzberg,Zimmerstr.,Jerusalemer Str.,Axel-Springer-Str.,Ecke Axel-Springer-Str.,Berlin,52.5078275,13.3901077
Friedrichshain-Kreuzberg,Kreuzberg,Zimmerstr.,Jerusalemer Str.,Axel-Springer-Str.,o. Nr.  (an Taxistand),Berlin,52.5081926,13.397041
Pankow,Prenzlauer Berg,Torstr.,Straßburger Str.,Schönhauser Allee,ggü. Nr. 41 / Tram Haltestelle,Berlin,52.5289222,13.407275
Pankow,Prenzlauer Berg,Torstr.,Straßburger Str.,Schönhauser Allee,ggü. Nr. 43 / Tram Haltestelle,Berlin,52.5289222,13.407275
Pankow,Prenzlauer Berg,Torstr.,Straßburger Str.,Schönhauser Allee,ggü. Nr. 49 / Tram Haltestelle,Berlin,52.5289222,13.407275
Mitte,Gesundbrunnen,Nicht zugeordnet,Nicht zugeordnet,Nicht zugeordnet,Nr. 77,Berlin,0.0,0.0
Mitte,Moabit,,"4,90110001010011E+017",Otto-Weidt-Platz,Nr. 17,Berlin,52.5330384,13.3650593
Mitte,Moabit,,"4,90110001010011E+017",Otto-Weidt-Platz,Nr. 24,Berlin,52.5330384,13.3650593
Mitte,Moabit,Nicht zugeordnet,Nicht zugeordnet,Nicht zugeordnet,o. Nr.   (Bus-Hst.),Berlin,0.0,0.0
Mitte,Moabit,Nicht zugeordnet,Nicht zugeordnet,Nicht zugeordnet,o. Nr.   (Bus-Hst.),Berlin,0.0,0.0
Mitte,Moabit,Nicht zugeordnet,Nicht zugeordnet,Nicht zugeordnet,Nr. 49 (Bus-Hst.),Berlin,0.0,0.0
Mitte,Moabit,Nicht zugeordnet,Nicht zugeordnet,Nicht zugeordnet,Nr. 40 (BVG-Haltestelle),Berlin,0.0,0.0
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,Nikolaus-Groß-Weg,Nonnendamm,Siemensdamm,E. Siemensdamm,Berlin,52.5325534,13.2797169
Reinickendorf,Märkisches Viertel,Quickborner Str.,Zerpenschleuser Ring,Nicht zugeordnet,Nr.96 (Haltestelle),Berlin,52.6023099,13.3658331
Reinickendorf,Waidmannslust,Zabel-Krüger-Damm,Lahrer Pfad,Schonacher Str.,Nr.27,Berlin,52.609667,13.3277666
Reinickendorf,Waidmannslust,Zabel-Krüger-Damm,Titiseestr.,Nicht zugeordnet,geg. Nr.63 (Haltestelle),Berlin,52.6102436,13.3297672
Reinickendorf,Hermsdorf,Bahnhofplatz,Schloßstr.,Bahnhofplatz,E. Schloßstr. BVG,Berlin,52.6185412,13.3052367
Reinickendorf,Hermsdorf,Bahnhofplatz,Bahnhofplatz,Glienicker Str.,S-Bhf.,Berlin,52.6185412,13.3052367
Reinickendorf,Hermsdorf,Bahnhofplatz,Bahnhofplatz,Glienicker Str.,S-Bhf.,Berlin,52.6185412,13.3052367
Reinickendorf,Hermsdorf,Bahnhofplatz,Bahnhofplatz,Glienicker Str.,S-Bhf.,Berlin,52.6185412,13.3052367
Reinickendorf,Hermsdorf,Bahnhofplatz,Bahnhofplatz,Glienicker Str.,S-Bhf.,Berlin,52.6185412,13.3052367
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,Bus-PP vor Eingang Zoo,Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,Bus-PP vor Eingang Zoo,Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,Bus-PP vor Eingang Zoo,Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,Bus-PP vor Eingang Zoo,Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,"o. Nr., Lat. 29",Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,"o. Nr., Rollstuhlparkplatz",Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,"o. Nr., Rollstuhlparkplatz",Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,"o. Nr., Lat. 31",Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,"o. Nr., Lat. 33",Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,"o. Nr., Lat. 35",Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,"o. Nr., Lat. 37",Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,U-Bahn-Eingang,Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,"o. Nr., Lat. 39",Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,o. Nr.,Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,vor Grünflächenamt,Berlin,52.5074654,13.3310678
Mitte,Tiergarten,Hardenbergplatz,Hardenbergplatz,Hardenbergplatz,vor Grünflächenamt,Berlin,52.5074654,13.3310678
Charlottenburg-Wilmersdorf,Westend,Schirwindter Brücke,Schirwindter Allee,Schirwindter Allee,Nr. 25,Berlin,52.5097779,13.2268106
Charlottenburg-Wilmersdorf,Westend,Schirwindter Brücke,Schirwindter Allee,Schirwindter Allee,S-Bhf.,Berlin,52.5097779,13.2268106
Spandau,Spandau,Heidetor,Neue Brücke,Oranienburger Tor,an Neuer Brücke,Berlin,0.0,0.0
Charlottenburg-Wilmersdorf,Charlottenburg,Lietzenseeufer,Neue Kantstr.,Witzlebenstr.,Nr. 9b,Berlin,52.5076561,13.2889853
Charlottenburg-Wilmersdorf,Charlottenburg,Lietzenseeufer,Witzlebenstr.,Neue Kantstr.,Nr. 10,Berlin,52.5076561,13.2889853
Tempelhof-Schöneberg,Friedenau,Laubacher Str.,Fehlerstr.,Varziner Str.,Nr. 29 /BVG,Berlin,52.4767693,13.318094
Tempelhof-Schöneberg,Friedenau,Laubacher Str.,Deidesheimer Str.,Offenbacher Str.,Nr. 21,Berlin,52.4772333,13.3188473
Tempelhof-Schöneberg,Friedenau,Laubacher Str.,Taunusstr.,Deidesheimer Str.,Nr. 18,Berlin,52.4772333,13.3188473
Tempelhof-Schöneberg,Friedenau,Laubacher Str.,Taunusstr.,Deidesheimer Str.,Nr. 19,Berlin,52.4772333,13.3188473
Tempelhof-Schöneberg,Friedenau,Laubacher Str.,Landauer Str.,Taunusstr.,Nr. 17,Berlin,52.4735722,13.3157347
Tempelhof-Schöneberg,Friedenau,Laubacher Str.,Schwalbacher Str.,Wiesbadener Str.,Nr. 12,Berlin,52.4735722,13.3157347
Tempelhof-Schöneberg,Friedenau,Laubacher Str.,Kreuznacher Str.,Hertelstr.,Nr. 1,Berlin,52.4735722,13.3157347
Pankow,Prenzlauer Berg,Schönhauser-Allee-Brücke,Dänenstr.,Schönhauser Allee,Nr. 117  Tram,Berlin,52.5494091,13.409485
Pankow,Prenzlauer Berg,Schönhauser-Allee-Brücke,Dänenstr.,Schönhauser Allee,Nr. 118  Tram,Berlin,52.5494091,13.409485
Pankow,Rosenthal,Hauptstraßenbrücke,Hauptstr.,Möllersfelder Str.,o.Nr./Möllersfelder Str.(Haltestelle),Berlin,52.6220652,13.3965334
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Nicht zugeordnet,ohne Nr.,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Nicht zugeordnet,an den Treppen,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Zugang,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Zugang,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Bus,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Zugang,Berlin,52.5670979,13.5134043
Lichtenberg,Neu-Hohenschönhausen,Falkenberger Brücke,Falkenberger Chaussee,Falkenberger Chaussee,o. Nr. Zugang,Berlin,52.5670979,13.5134043
Lichtenberg,Lichtenberg,Nicht zugeordnet,Nicht zugeordnet,Nicht zugeordnet,geg. Fußgängertunnel,Berlin,0.0,0.0
Lichtenberg,Friedrichsfelde,Südliche Rhinstraßenbrücke,Seddiner Str.,Nicht zugeordnet,Tram,Berlin,52.5135002,13.5147097
Lichtenberg,Friedrichsfelde,Südliche Rhinstraßenbrücke,Seddiner Str.,Nicht zugeordnet,Tram,Berlin,52.5135002,13.5147097
Lichtenberg,Friedrichsfelde,Südliche Rhinstraßenbrücke,Seddiner Str.,Nicht zugeordnet,Tram,Berlin,52.5135002,13.5147097
Lichtenberg,Friedrichsfelde,Südliche Rhinstraßenbrücke,Seddiner Str.,Nicht zugeordnet,Tram,Berlin,52.5135002,13.5147097
Marzahn-Hellersdorf,Marzahn,Brücke Allee der Kosmonauten,Brücke Allee der Kosmonauten,Allee der Kosmonauten,Tram,Berlin,52.5312257,13.5450967
Marzahn-Hellersdorf,Marzahn,Brücke Allee der Kosmonauten,Brücke Allee der Kosmonauten,Allee der Kosmonauten,Tram,Berlin,52.5312257,13.5450967
Marzahn-Hellersdorf,Marzahn,Brücke Allee der Kosmonauten,Brücke Allee der Kosmonauten,Allee der Kosmonauten,Tram,Berlin,52.5312257,13.5450967
Marzahn-Hellersdorf,Marzahn,Brücke Allee der Kosmonauten,Brücke Allee der Kosmonauten,Allee der Kosmonauten,Tram,Berlin,52.5312257,13.5450967
Lichtenberg,Rummelsburg,Glasbläserallee,Glasbläserallee,Paul-und-Paula-Ufer,o. Nr.,Berlin,52.5001736,13.4691698
Lichtenberg,Friedrichsfelde,Am Kraatz-Tränke-Graben (Fuß-/Radweg neben Nr. 39),Dolgenseestr.,Zobtener Str.,o.Nr.,Berlin,52.4941805,13.496039
